iter	Passed	Remaining
544	6921	18479
545	6934	18467
546	6945	18449
547	6958	18437
548	6974	18432
549	6985	18416
550	6994	18394
551	7007	18382
552	7023	18377
553	7028	18346
554	7039	18329
555	7052	18316
556	7068	18310
557	7074	18282
558	7085	18264
559	7091	18235
560	7101	18215
561	7112	18199
562	7126	18190
563	7135	18168
564	7136	18126
565	7151	18118
566	7164	18106
567	7179	18100
568	7194	18093
569	7207	18081
570	7217	18061
571	7232	18054
572	7233	18014
573	7243	17994
574	7250	17968
575	7259	17946
576	7274	17940
577	7283	17919
578	7296	17907
579	7311	17901
580	7324	17888
581	7336	17875
582	7348	17860
583	7363	17853
584	7372	17831
585	7387	17824
586	7398	17809
587	7408	17790
588	7421	17778
589	7431	17761
590	7445	17749
591	7460	17743
592	7471	17726
593	7486	17720
594	7497	17705
595	7509	17689
596	7519	17672
597	7533	17661
598	7543	17643
599	7554	17627
600	7562	17605
601	7572	17586
602	7584	17571
603	7599	17565
604	7610	17548
605	7623	17535
606	7634	17519
607	7649	17513
608	7728	17651
609	7755	17671
610	7763	17649
611	7776	17637
612	7788	17622
613	7797	17601
614	7809	17587
615	7822	17575
616	7837	17567
617	7850	17556
618	7861	17539
619	7871	17520
620	7886	17512
621	7895	17491
622	7906	17475
623	7920	17465
624	7925	17437
625	7939	17426
626	7949	17406
627	7955	17381
628	7971	17374
629	7986	17367
630	8002	17361
631	8015	17350
632	8030	17342
633	8046	17336
634	8060	17326
635	8069	17306
636	8083	17295
637	8098	17289
638	8109	17272
639	8120	17256
640	8135	17247
641	8150	17240
642	8163	17228
643	8179	17222
644	8187	17199
645	8199	17185
646	8210	17170
647	8223	17158
648	8232	17137
649	8245	17125
650	8261	17118
651	8272	17103
652	8288	17098
653	8304	17091
654	8309	17063
655	8326	17058
656	8338	17045
657	8347	17025
658	8355	17002
659	8368	16991
660	8370	16955
661	8385	16947
662	8396	16932
663	8411	16924
664	8425	16913
665	8437	16899
666	8440	16868
667	8455	16861
668	8466	16845
669	8475	16824
670	8491	16818
671	8502	16802
672	8519	16798
673	8534	16791
674	8548	16780
675	8556	16758
676	8570	16747
677	8583	16736
678	8599	16729
679	8612	16718
680	8621	16699
681	8635	16688
682	8647	16673
683	8664	16669
684	8678	16661
685	8692	16650
686	8697	16622
687	8713	16616
688	8726	16605
689	8742	16598
690	8750	16576
691	8764	16567
692	8777	16555
693	8782	16526
694	8797	16518
695	8808	16503
696	8824	16496
697	8833	16477
698	8847	16468
699	8861	16456
700	8874	16445
701	8884	16428
702	8898	16417
703	8911	16404
704	8927	16398
705	8939	16384
706	8950	16368
707	8962	16355
708	8977	16347
709	8993	16339
710	9005	16327
711	9017	16312
712	9029	16298
713	9039	16281
714	9052	16269
715	9064	16254
716	9076	16241
717	9087	16226
718	9098	16209
719	9113	16201
720	9125	16188
721	9136	16172
722	9150	16161
723	9163	16150
724	9178	16141
725	9194	16134
726	9199	16108
727	9216	16102
728	9229	16092
729	9245	16085
730	9262	16079
731	9268	16054
732	9278	16038
733	9290	16024
734	9301	16008
735	9312	15993
736	9324	15980
737	9335	15964
738	9346	15949
739	9356	15931
740	9366	15913
741	9379	15902
742	9391	15888
743	9402	15872
744	9412	15856
745	9419	15833
746	9431	15820
747	9443	15806
748	9454	15791
749	9462	15771
750	9468	15747
751	9471	15719
752	9487	15712
753	9500	15699
754	9509	15680
755	9518	15662
756	9530	15649
757	9539	15630
758	9554	15622
759	9571	15616
760	9586	15607
761	9600	15597
762	9612	15583
763	9619	15561
764	9639	15561
765	9655	15554
766	9666	15539
767	9676	15522
768	9683	15500
769	9693	15483
770	9704	15469
771	9719	15459
772	9730	15446
773	9741	15431
774	9748	15408
775	9759	15394
776	9766	15372
777	9777	15358
778	9783	15334
779	9797	15324
780	9813	15316
781	9826	15305
782	9834	15285
783	9842	15265
784	9852	15250
785	9864	15235
786	9874	15219
787	9885	15204
788	9899	15193
789	9909	15178
790	9923	15166
791	9936	15155
792	9946	15139
793	9958	15125
794	9975	15119
795	9990	15110
796	10003	15099
797	10018	15091
798	10030	15077
799	10045	15068
800	10055	15052
801	10071	15044
802	10086	15035
803	10099	15024
804	10116	15017
805	10129	15006
806	10142	14993
807	10143	14964
808	10155	14951
809	10167	14937
810	10178	14922
811	10193	14914
812	10204	14899
813	10210	14876
814	10227	14870
815	10236	14852
816	10248	14839
817	10262	14829
818	10277	14820
819	10293	14812
820	10307	14801
821	10318	14786
822	10327	14770
823	10341	14759
824	10357	14751
825	10366	14734
826	10378	14720
827	10393	14711
828	10405	14697
829	10418	14686
830	10432	14675
831	10448	14667
832	10460	14654
833	10475	14644
834	10486	14630
835	10497	14615
836	10507	14600
837	10521	14589
838	10533	14575
839	10548	14567
840	10588	14592
841	10596	14573
842	10614	14568
843	10628	14557
844	10640	14543
845	10651	14529
846	10667	14520
847	10682	14511
848	10694	14498
849	10708	14487
850	10717	14470
851	10732	14461
852	10744	14447
853	10757	14435
854	10766	14418
855	10777	14403
856	10792	14393
857	10807	14384
858	10821	14373
859	10832	14359
860	10845	14347
861	10861	14338
862	10870	14322
863	10879	14304
864	10888	14287
865	10904	14279
866	10918	14268
867	10928	14252
868	10942	14241
869	10960	14235
870	10974	14224
871	10985	14210
872	10992	14190
873	11003	14175
874	11018	14167
875	11030	14153
876	11039	14136
877	11052	14124
878	11066	14113
879	11081	14103
880	11090	14086
881	11101	14072
882	11114	14060
883	11125	14045
884	11137	14031
885	11149	14019
886	11166	14011
887	11180	14000
888	11190	13985
889	11203	13973
890	11216	13961
891	11229	13948
892	11239	13933
893	11249	13917
894	11261	13903
895	11270	13887
896	11281	13872
897	11295	13861
898	11308	13849
899	11313	13828
900	11327	13816
901	11333	13796
902	11342	13779
903	11352	13763
904	11364	13750
905	11373	13733
906	11389	13724
907	11402	13713
908	11413	13698
909	11424	13683
910	11437	13672
911	11448	13657
912	11459	13643
913	11474	13633
914	11488	13622
915	11503	13613
916	11520	13605
917	11532	13592
918	11540	13574
919	11555	13565
920	11569	13553
921	11584	13544
922	11597	13533
923	11609	13518
924	11614	13497
925	11623	13481
926	11632	13464
927	11643	13450
928	11659	13442
929	11660	13416
930	11669	13399
931	11678	13382
932	11692	13371
933	11701	13354
934	11712	13341
935	11726	13329
936	11739	13318
937	11746	13299
938	11758	13286
939	11773	13276
940	11788	13267
941	11804	13258
942	11815	13244
943	11826	13229
944	11837	13215
945	11847	13199
946	11854	13181
947	11867	13169
948	11877	13153
949	11892	13144
950	11901	13127
951	11911	13112
952	11924	13100
953	11936	13087
954	11947	13073
955	11957	13058
956	11966	13042
957	11982	13032
958	11989	13014
959	12002	13002
960	12015	12990
961	12021	12970
962	12034	12959
963	12050	12950
964	12056	12931
965	12072	12922
966	12088	12913
967	12100	12900
968	12115	12891
969	12130	12881
970	12147	12873
971	12155	12855
972	12169	12844
973	12185	12835
974	12196	12822
975	12210	12811
976	12225	12801
977	12236	12787
978	12248	12774
979	12263	12764
980	12265	12740
981	12276	12726
982	12292	12717
983	12301	12701
984	12323	12698
985	12334	12685
986	12349	12675
987	12358	12659
988	12378	12653
989	12398	12649
990	12423	12649
991	12433	12633
992	12448	12623
993	12461	12611
994	12477	12602
995	12493	12593
996	12505	12580
997	12517	12567
998	12528	12553
999	12534	12534
1000	12549	12523
1001	12564	12514
1002	12574	12498
1003	12583	12483
